hour,jday,solar_zenith,ghi,uw_solar,dni,dhi,dw_ir,uw_ir,uvb,par,netsolar,netir,totalnet,temp_air,relative_humidity,pressure
0,175.5,81.45748,71.91506666666668,22.409533333333336,222.4908,43.445933333333336,384.3323815922069,442.7017,3.340866666666667,33.07465800273598,57.80683333333333,-58.45112529392005,-0.6050722203560631,26.196066666666667,54.17296666666667,989.0591666666667
1,175.5,91.58707666666666,3.3765,1.1804,13.8511,4.463066666666667,377.6142280524723,428.7049,0.18273333333333336,2.2598045822102426,3.883,-51.24581231079717,-47.35613858055835,24.8163,60.18653333333334,989.3094666666666
2,175.5,100.86316,-1.6119333333333334,-0.24153333333333335,0.027800000000000002,-0.3664666666666667,373.71816666666666,422.11370000000005,0.0,0.0,0.0,-48.405633333333334,-48.405633333333334,23.685933333333335,64.26843333333333,989.7547333333334
3,175.5,108.45436333333335,-1.6687666666666667,-0.21066666666666667,0.034666666666666665,-0.3803666666666667,370.00489999999996,417.8170666666667,0.0,0.0,0.0,-47.81733333333333,-47.81733333333333,22.7469,67.55323333333334,990.1081666666666
4,175.5,113.95818,-1.6137666666666668,-0.2313,0.04003333333333334,-0.3504333333333333,368.48656666666665,415.0826666666667,0.0,0.0,0.0,-46.59713333333333,-46.59713333333333,22.034066666666664,70.01586666666667,990.2246666666666
5,175.5,116.80876666666666,-1.5577666666666667,-0.15053333333333335,0.0654,-0.3655,366.5259,412.0199,0.0,3.3333333333333335e-05,0.0,-45.516099999999994,-45.516099999999994,21.278066666666664,73.01156666666667,990.2490999999999
6,175.5,116.64122666666667,-1.6278,-0.12106666666666667,0.04726666666666667,-0.2964,364.2427666666667,409.97606666666667,0.0,0.0,0.0,-45.734233333333336,-45.734233333333336,20.626833333333334,76.13546666666666,990.2416
7,175.5,113.47845666666666,-1.6054333333333335,-0.1698,0.050300000000000004,-0.3519,360.8360666666666,407.3598333333333,0.0,0.0,0.0,-46.52433333333333,-46.52433333333333,20.084066666666665,78.3332,990.1994000000001
8,175.5,107.71821,-1.5708333333333333,-0.14363333333333334,0.05876666666666667,-0.3355666666666667,359.29183333333333,405.3513,0.0,0.0,0.0,-46.05983333333333,-46.05983333333333,19.6157,79.94036666666666,990.1676666666667
9,175.5,99.93487333333333,-1.5405333333333335,-0.1605,0.0368,-0.3233666666666667,358.80213475650436,404.2153666666667,0.0,0.0,0.0021333333333333334,-45.39616410940627,-45.39402935290193,19.295866666666665,81.1079,990.3386333333333
10,175.5,90.49934999999999,6.627766666666666,2.0926666666666667,17.63645552560647,7.7338000000000005,359.29730834752985,403.6415,0.3086333333333333,4.006192893401015,6.8477,-44.787427597955705,-37.96098807495741,18.9646,82.16873333333334,990.6617666666666
11,175.5,80.31489666666667,87.09252273492758,25.035333333333334,247.24915254237288,52.022733333333335,357.75566552901023,412.7821333333333,4.2993,44.03116621983914,72.2461153717906,-54.935870307167235,17.82560600887675,19.442633333333333,81.02136666666667,990.9980333333334
12,175.5,69.43281999999999,240.6155114401077,61.92613333333333,426.3915666666667,101.527018012008,362.0427899159664,427.3292,17.55071834279987,113.44507042253521,191.9749,-65.24813445378152,127.25556302521008,21.021966666666668,75.9551,991.2204333333333
13,175.5,58.12012666666667,423.2137399463807,98.39573333333334,535.987245409015,148.26902300766923,367.5920725562647,442.90846666666664,45.34181393797933,192.7528685790527,332.8689,-75.39714477662075,257.5628485052066,22.6541,69.62263333333333,991.3695333333334
14,175.5,46.67899666666666,587.0314833501513,124.89476666666667,585.1537688442211,185.78411745078412,374.2737001006373,458.5476333333333,87.77360507851655,260.72693591455277,462.58442294863244,-84.35474672928548,377.97356591747734,24.233033333333335,63.06693333333333,991.3209333333333
15,175.5,35.49158333333333,729.605261394102,144.23391420911528,643.1491973244148,200.07653163709406,379.4094125500668,471.24366621983916,139.38167836843863,317.91309603760914,577.457238605898,-92.09171140939597,485.33442953020136,25.407473190348522,57.074530831099196,991.179
16,175.5,25.374386666666666,807.9655218855219,152.89374149659864,603.8926000672722,252.59611129735165,387.3253084361454,479.25367346938776,179.69039039039038,346.4471959459459,642.1985704560925,-92.9406941136441,549.2319373510385,26.168741496598642,52.77636054421769,991.0460333333334
17,175.5,18.592153333333332,823.1769413360461,154.04436524100475,559.0024991556907,281.0311103701234,392.52366666666666,483.53577732518664,197.04838171504838,349.4404785979103,658.6283095723014,-91.86883910386965,566.7604548540394,26.722029871011543,50.28343516632722,990.8074
18,175.5,19.03883666666667,798.6380807053239,150.53226666666666,530.1305611899933,287.9364304812834,394.7187666666667,484.97866666666664,191.080387570999,338.4004713804714,635.9752666666667,-90.26076666666667,545.7148333333333,27.282633333333333,48.3655,990.2780999999999
19,175.5,26.361916666666666,779.6187878787878,150.84403333333333,563.8593676421123,267.9369,395.78526175391795,486.1637,171.09692923898533,330.9498657718121,619.6372,-90.37582527509169,529.2184394798267,27.781566666666667,46.94273333333334,989.7116
20,175.5,36.66092,658.8521797451375,134.09709999999998,551.9052984574112,215.48757099899768,396.9972972972973,482.46770000000004,123.69979939819457,281.8580786026201,522.9557666666667,-85.46176176176176,437.30036703370035,28.10686666666667,46.10686666666667,989.2708333333334
21,175.5,47.900906666666664,513.2580134680135,112.29140000000001,485.8363879598662,191.50246666666666,397.5188565697091,475.54429999999996,74.85043420173682,222.23068942436413,405.18266666666665,-78.03801404212638,327.04399866265464,28.129299999999997,45.9828,988.9479000000001
22,175.5,59.34356,357.9664434025452,85.49873333333333,435.20991321762347,143.35522537562605,395.5442031406616,466.2151333333333,37.555233333333334,156.2766120948881,280.6897333333333,-70.68135649849648,209.94086201135983,27.80476666666667,47.818266666666666,988.7502333333334
23,175.5,70.62590666666667,202.46374622356495,54.848299999999995,368.9553738317757,90.0749833222148,391.6924723987956,455.0326,14.235266666666668,89.53970340411189,159.00056666666666,-63.34570090331214,95.8756105720977,27.155033333333336,51.07573333333334,988.7700333333333
